gene_label,ct_label,as_label,avg_mean_gene_expr,as,ct,gene
ANKRD44,T cell,kidney interstitium,1.254261,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/25259
ANKRD44,T cell,renal column,1.254261,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/25259
ANKRD44,T cell,outer cortex of kidney,1.254261,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/25259
ANPEP,epithelial cell of proximal tubule,proximal tubule,1.117514,http://purl.obolibrary.org/obo/UBERON_0004134,http://purl.obolibrary.org/obo/CL_0002306,http://identifiers.org/hgnc/500
AOAH,monocyte,kidney interstitium,1.136602,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000576,http://identifiers.org/hgnc/548
APCDD1L-DT,kidney connecting tubule epithelial cell,renal papilla,0.424703,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/27152
APCDD1L-DT,kidney connecting tubule epithelial cell,kidney capsule,0.424703,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/27152
APCDD1L-DT,kidney connecting tubule epithelial cell,kidney,0.424703,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/27152
APCDD1L-DT,kidney connecting tubule epithelial cell,kidney pyramid,0.424703,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/27152
APCDD1L-DT,kidney connecting tubule epithelial cell,renal column,0.424703,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/27152
APCDD1L-DT,kidney connecting tubule epithelial cell,outer cortex of kidney,0.424703,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/27152
APCDD1L-DT,kidney connecting tubule epithelial cell,renal connecting tubule,0.424703,http://purl.obolibrary.org/obo/UBERON_0005097,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/27152
AQP2,kidney collecting duct principal cell,collecting duct of renal tubule,1.466903,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/CL_1001431,http://identifiers.org/hgnc/634
AQP3,kidney collecting duct principal cell,collecting duct of renal tubule,1.171725,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/CL_1001431,http://identifiers.org/hgnc/636
ARHGAP15,B cell,kidney capsule,1.74717,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/21030
ARHGAP15,B cell,kidney,1.74717,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/21030
ARHGAP15,B cell,kidney pyramid,1.74717,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/21030
ARHGAP15,B cell,kidney interstitium,1.74717,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/21030
ARHGAP15,B cell,renal column,1.74717,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/21030
ARHGAP15,B cell,outer cortex of kidney,1.74717,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/21030
ARHGAP15,T cell,renal papilla,1.477034,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/21030
ARHGAP15,T cell,kidney capsule,1.477034,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/21030
ARHGAP15,T cell,kidney,1.477034,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/21030
ARHGAP15,T cell,kidney pyramid,1.477034,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/21030
ARHGAP15,T cell,kidney interstitium,1.477034,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/21030
ARHGAP15,T cell,renal column,1.477034,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/21030
ARHGAP15,T cell,outer cortex of kidney,1.477034,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000084,http://identifiers.org/hgnc/21030
ARHGAP15,neutrophil,kidney capsule,1.434594,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/21030
ARHGAP15,neutrophil,kidney,1.434594,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/21030
ARHGAP15,neutrophil,kidney pyramid,1.434594,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/21030
ARHGAP15,neutrophil,kidney interstitium,1.434594,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/21030
ARHGAP15,neutrophil,renal column,1.434594,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/21030
ARHGAP15,neutrophil,outer cortex of kidney,1.434594,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/21030
ARHGAP15,mast cell,renal papilla,0.697334,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/21030
ARHGAP15,mast cell,kidney capsule,0.697334,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/21030
ARHGAP15,mast cell,kidney,0.697334,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/21030
ARHGAP15,mast cell,kidney pyramid,0.697334,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/21030
ARHGAP15,mast cell,kidney interstitium,0.697334,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/21030
ARHGAP15,mast cell,renal column,0.697334,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/21030
ARHGAP15,mast cell,outer cortex of kidney,0.697334,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000097,http://identifiers.org/hgnc/21030
ARHGAP18,kidney collecting duct intercalated cell,collecting duct of renal tubule,1.522544,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/CL_1001432,http://identifiers.org/hgnc/21035
ARHGAP24,B cell,kidney capsule,1.807449,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/25361
ARHGAP24,B cell,kidney,1.807449,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/25361
ARHGAP24,B cell,kidney pyramid,1.807449,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/25361
ARHGAP24,B cell,kidney interstitium,1.807449,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/25361
ARHGAP24,B cell,renal column,1.807449,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/25361
ARHGAP24,B cell,outer cortex of kidney,1.807449,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/25361
ARHGAP26,neutrophil,kidney capsule,1.803245,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/17073
ARHGAP26,neutrophil,kidney,1.803245,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/17073
ARHGAP26,neutrophil,kidney pyramid,1.803245,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/17073
