asctb_table,record_number,as_label,as,cell_label,cell_id,matched_genes,matched_gene_count,gene_symbols,hgnc_ids,references
blood-vasculature,401,Muscular branch of occipital artery,http://purl.org/sig/ont/fma/fma49621,blood vessel endothelial cell,CL:0000071,TIE1,1,CDH5; PECAM1; TEK; TIE1,HGNC:1764; HGNC:8823; HGNC:11724; HGNC:11809,https://en.wikipedia.org/wiki/Occipital_artery
blood-vasculature,2734,great saphenous vein,http://purl.obolibrary.org/obo/UBERON_0001363,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Great_saphenous_vein
blood-vasculature,2742,medial marginal vein,http://purl.obolibrary.org/obo/UBERON_0001550,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Medial_marginal_vein
blood-vasculature,2744,dorsal venous arch,http://purl.obolibrary.org/obo/UBERON_0008783,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Medial_marginal_vein
blood-vasculature,2738,deep external pudendal vein,http://purl.obolibrary.org/obo/UBERON_0009048,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/External_pudendal_veins
blood-vasculature,2740,external pudendal vein,http://purl.obolibrary.org/obo/UBERON_0018253,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/External_pudendal_veins
blood-vasculature,2736,anterior accessory saphenous vein,https://purl.org/ccf/ASCTB-TEMP_anterior-accessory-saphenous-vein,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_accessory_saphenous_vein
blood-vasculature,2746,posterior accessory saphenous vein,https://purl.org/ccf/ASCTB-TEMP_posterior-accessory-saphenous-vein,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Great_saphenous_vein
blood-vasculature,2732,femoral vein,http://purl.obolibrary.org/obo/UBERON_0001361,blood vessel endothelial cell,CL:0000071,TIE1,1,PECAM1; TEK; TIE1; CDH5,HGNC:8823; HGNC:11724; HGNC:11809; HGNC:1764,https://en.wikipedia.org/wiki/Femoral_vein
blood-vasculature,3584,right pulmonary artery,http://purl.obolibrary.org/obo/UBERON_0001651,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3582,pulmonary capillary,http://purl.obolibrary.org/obo/UBERON_0016405,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://radiologykey.com/6-pulmonary-artery-and-vein/
blood-vasculature,3566,subsegmental pulmonary artery,http://purl.obolibrary.org/obo/UBERON_8600060,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3570,pulmonary arteriole,http://purl.obolibrary.org/obo/UBERON_8600077,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://radiologykey.com/6-pulmonary-artery-and-vein/
blood-vasculature,3574,intra-acinar arteriole,http://purl.obolibrary.org/obo/UBERON_8600094,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.1152/japplphysiol.01177.2009
blood-vasculature,3562,Segmental pulmonary artery,http://purl.org/sig/ont/fma/fma8755,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3592,Trunk of right basal segmental artery,http://purl.org/sig/ont/fma/fma68847,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3558,Left superior segmental artery,http://purl.org/sig/ont/fma/fma8642,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3588,Interlobar portion of right pulmonary artery,http://purl.org/sig/ont/fma/fma8618,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3580,alveolar capillary,https://purl.org/ccf/ASCTB-TEMP_alveolar-capillary,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.1152/japplphysiol.01177.2009
blood-vasculature,357,maxillary pulp arteriole,https://purl.org/ccf/ASCTB-TEMP_maxillary-pulp-arteriole,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Posterior_superior_alveolar_artery
blood-vasculature,3578,pre-alveolar capillary,https://purl.org/ccf/ASCTB-TEMP_pre-alveolar-capillary,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.1152/japplphysiol.01177.2009
blood-vasculature,3624,Trunk of right upper lobar artery,http://purl.org/sig/ont/fma/fma8616,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3616,Medial segmental artery,http://purl.org/sig/ont/fma/fma68193,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3612,Lateral segmental artery,http://purl.org/sig/ont/fma/fma68194,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3620,Right superior segmental artery,http://purl.org/sig/ont/fma/fma8627,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3604,Right medial basal segmental artery,http://purl.org/sig/ont/fma/fma8628,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3596,Right anterior basal segmental artery,http://purl.org/sig/ont/fma/fma8630,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3600,Right lateral basal segmental artery,http://purl.org/sig/ont/fma/fma8631,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3608,Right posterior basal segmental artery,http://purl.org/sig/ont/fma/fma8632,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3628,high truncus anterior of right pulmonary artery,https://purl.org/ccf/ASCTB-TEMP_high-truncus-anterior-of-right-pulmonary-artery,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,361,maxillary pulp capillary,https://purl.org/ccf/ASCTB-TEMP_maxillary-pulp-capillary,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Posterior_superior_alveolar_artery
blood-vasculature,363,superior gingival plexus,https://purl.org/ccf/ASCTB-TEMP_superior-gingival-plexus,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.26463/rjds.15_2_21
blood-vasculature,2680,right coronary artery,http://purl.obolibrary.org/obo/UBERON_0001625,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Ascending_aorta
blood-vasculature,2664,circumflex branch of left coronary artery,http://purl.obolibrary.org/obo/UBERON_0035422,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Circumflex_branch_of_left_coronary_artery
blood-vasculature,2688,conus artery,http://purl.obolibrary.org/obo/UBERON_0039232,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Right_coronary_artery
blood-vasculature,2660,septal perforating artery,http://purl.obolibrary.org/obo/UBERON_8600063,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.1067/mtc.2001.113604
blood-vasculature,2676,posterolateral artery,http://purl.obolibrary.org/obo/UBERON_8600064,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://radiopaedia.org/articles/circumflex-artery
blood-vasculature,2668,First left marginal artery,http://purl.org/sig/ont/fma/fma322905,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.wikidoc.org/index.php/Left_coronary_artery
blood-vasculature,2672,Second left marginal artery,http://purl.org/sig/ont/fma/fma322906,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.wikidoc.org/index.php/Left_coronary_artery
blood-vasculature,2692,Posterior interventricular branch of right coronary artery,http://purl.org/sig/ont/fma/fma3840,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Posterior_interventricular_artery
blood-vasculature,2684,Atrioventricular node branch of right coronary artery,http://purl.org/sig/ont/fma/fma3851,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Atrioventricular_nodal_branch
blood-vasculature,269,palatine gland arteriole,https://purl.org/ccf/ASCTB-TEMP_palatine-gland-arteriole,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Greater_palatine_artery
blood-vasculature,3016,left testicular vein,http://purl.obolibrary.org/obo/UBERON_0000443,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Testicular_vein
blood-vasculature,3056,renal vein,http://purl.obolibrary.org/obo/UBERON_0001140,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Renal_vein
blood-vasculature,3048,middle hepatic vein,http://purl.obolibrary.org/obo/UBERON_0011957,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Hepatic_veins
blood-vasculature,3026,basivertebral vein,http://purl.obolibrary.org/obo/UBERON_8600066,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://radiopaedia.org/articles/vertebral-venous-plexus-1
blood-vasculature,3024,anterior internal vertebral venous plexus,http://purl.obolibrary.org/obo/UBERON_8600103,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Internal_vertebral_venous_plexuses
blood-vasculature,3022,intervertebral vein,http://purl.obolibrary.org/obo/UBERON_8600104,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.kenhub.com/en/library/anatomy/veins-of-the-vertebral-column
blood-vasculature,3018,lumbar vein,http://purl.obolibrary.org/obo/UBERON_8600105,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.kenhub.com/en/library/anatomy/lumbar-veins
blood-vasculature,3020,Anterior external vertebral venous plexus,http://purl.org/sig/ont/fma/fma10787,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.1053/j.sult.2016.05.008
blood-vasculature,3046,Posterior external vertebral venous plexus,http://purl.org/sig/ont/fma/fma12852,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.1053/j.sult.2016.05.008
blood-vasculature,3050,Anterior inferior segmental tributary of middle hepatic vein,http://purl.org/sig/ont/fma/fma15800,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.1007/s12565-018-00475-x
blood-vasculature,3052,Medial inferior segmental tributary of middle hepatic vein,http://purl.org/sig/ont/fma/fma15801,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.1007/s12565-018-00475-x
blood-vasculature,3054,Medial superior segmental tributary of left hepatic vein,http://purl.org/sig/ont/fma/fma15802,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.1007/s12565-018-00475-x
blood-vasculature,3034,Posterior internal vertebral venous plexus,http://purl.org/sig/ont/fma/fma4870,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Internal_vertebral_venous_plexuses
blood-vasculature,3030,Set of anterior spinal veins,http://purl.org/sig/ont/fma/fma70892,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_spinal_veins
blood-vasculature,3038,Set of posterior spinal veins,http://purl.org/sig/ont/fma/fma70893,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_spinal_veins
blood-vasculature,3028,anterior radicular vein,https://purl.org/ccf/ASCTB-TEMP_anterior-radicular-vein,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_spinal_veins
blood-vasculature,3032,intramedullary radial vein,https://purl.org/ccf/ASCTB-TEMP_intramedullary-radial-vein,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_spinal_veins
blood-vasculature,3040,intramedullary radial vein #2,https://purl.org/ccf/ASCTB-TEMP_intramedullary-radial-vein-2,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_spinal_veins
blood-vasculature,3044,intramedullary radial vein #3,https://purl.org/ccf/ASCTB-TEMP_intramedullary-radial-vein-3,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_spinal_veins
blood-vasculature,303,mandibular pulp arteriole,https://purl.org/ccf/ASCTB-TEMP_mandibular-pulp-arteriole,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Inferior_alveolar_artery
blood-vasculature,3036,posterior radicular vein,https://purl.org/ccf/ASCTB-TEMP_posterior-radicular-vein,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_spinal_veins
blood-vasculature,3042,posterolateral spinal vein,https://purl.org/ccf/ASCTB-TEMP_posterolateral-spinal-vein,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.wikiwand.com/en/Anterior_spinal_veins
blood-vasculature,3058,segmental renal vein,https://purl.org/ccf/ASCTB-TEMP_segmental-renal-vein,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Interlobar_veins
blood-vasculature,1000,common iliac artery,http://purl.obolibrary.org/obo/UBERON_0001191,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Common_iliac_artery
blood-vasculature,1004,external iliac artery,http://purl.obolibrary.org/obo/UBERON_0001308,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/External_iliac_artery
blood-vasculature,1016,deep femoral artery,http://purl.obolibrary.org/obo/UBERON_0001355,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://radiopaedia.org/articles/profunda-femoris-artery
blood-vasculature,1012,deep external pudendal artery,http://purl.obolibrary.org/obo/UBERON_0007316,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://radiopaedia.org/articles/common-femoral-artery
blood-vasculature,10,subsegmental pulmonary vein,http://purl.obolibrary.org/obo/UBERON_8600052,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://radiologykey.com/6-pulmonary-artery-and-vein/
blood-vasculature,1008,Common femoral artery,http://purl.org/sig/ont/fma/fma0323778,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://radiopaedia.org/articles/common-femoral-artery
blood-vasculature,1020,Lateral circumflex femoral artery,http://purl.org/sig/ont/fma/fma20798,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Lateral_circumflex_femoral_artery
blood-vasculature,1024,Ascending branch of lateral circumflex femoral artery,http://purl.org/sig/ont/fma/fma20804,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Lateral_circumflex_femoral_artery
blood-vasculature,1028,Descending branch of lateral circumflex femoral artery,http://purl.org/sig/ont/fma/fma20805,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Lateral_circumflex_femoral_artery
blood-vasculature,101,superior pharyngeal artery,https://purl.org/ccf/ASCTB-TEMP_superior-pharyngeal-artery,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,PMID:12169487
blood-vasculature,511,Callosomarginal artery,http://purl.org/sig/ont/fma/fma50330,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_cerebral_artery
blood-vasculature,507,anterior internal frontal artery,https://purl.org/ccf/ASCTB-TEMP_anterior-internal-frontal-artery,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.3171/jns.1978.49.2.0204
blood-vasculature,523,inferior parietal artery,https://purl.org/ccf/ASCTB-TEMP_inferior-parietal-artery,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.3171/jns.1978.49.2.0204
blood-vasculature,527,medial lenticulostriate artery,https://purl.org/ccf/ASCTB-TEMP_medial-lenticulostriate-artery,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_cerebral_artery
blood-vasculature,543,Pericallosal artery,http://purl.org/sig/ont/fma/fma50337,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_cerebral_artery
blood-vasculature,531,middle internal frontal artery,https://purl.org/ccf/ASCTB-TEMP_middle-internal-frontal-artery,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.3171/jns.1978.49.2.0204
blood-vasculature,535,orbitofrontal branch of anterior cerebral artery,https://purl.org/ccf/ASCTB-TEMP_orbitofrontal-branch-of-anterior-cerebral-artery,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,http://radiopaedia.org/articles/orbitofrontal-artery
blood-vasculature,539,paracentral artery,https://purl.org/ccf/ASCTB-TEMP_paracentral-artery,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.3171/jns.1978.49.2.0204
blood-vasculature,547,posterior internal frontal artery,https://purl.org/ccf/ASCTB-TEMP_posterior-internal-frontal-artery,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.3171/jns.1978.49.2.0204
blood-vasculature,2758,popliteal vein,http://purl.obolibrary.org/obo/UBERON_0001544,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Popliteal_vein
blood-vasculature,2760,anterior tibial vein,http://purl.obolibrary.org/obo/UBERON_0001545,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_tibial_vein
blood-vasculature,2774,posterior tibial vein,http://purl.obolibrary.org/obo/UBERON_0001546,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Posterior_tibial_vein
blood-vasculature,2790,small saphenous vein,http://purl.obolibrary.org/obo/UBERON_0001547,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Small_saphenous_vein
blood-vasculature,2764,dorsal metatarsal vein,http://purl.obolibrary.org/obo/UBERON_0001549,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Dorsal_metatarsal_veins
blood-vasculature,2762,dorsal venous arch,http://purl.obolibrary.org/obo/UBERON_0008783,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_tibial_vein
blood-vasculature,2782,plantar digital vein,http://purl.obolibrary.org/obo/UBERON_0006139,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Plantar_digital_veins
