leiden_sub,cell_id,cell_label,evidence,table,table_count,references,shared_markers,asctb_markers
"3,0",CL:0000887,lymph node subcapsular sinus macrophage,2,lymph-node,1,https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1182/blood-2008-06-165266,CD163; MRC1,CD14; SIGLEC1; HLA-DRA; MRC1; CD68; CD4; ITGAX; CD209; CD163
"3,0",PCL:0051013,Mgl_12 microglial cell (Hsap),2,allen-brain,1,https://doi.org/10.1101/2022.10.12.511898,F13A1; MRC1,F13A1; MRC1
"3,0",CL:0000883,thymic cortical macrophage,2,thymus,1,https://doi.org/10.1016/s0065-2776(08)60900-1,SELENOP; STAB1,STAB1; APOE; C1QC; C1QB; TMSB4X; SLC40A1; LGMN; SELENOP; MS4A7; C1QA; RNASE1
"3,0",CL:0000874,splenic red pulp macrophage,2,spleen,1,https://doi.org/10.55418/9781933477060.; https://doi.org/10.1182/bloodadvances.2017015008; https://doi.org/10.1111/imm.12469; https://doi.org/10.1186/s13059-019-1906-x,CD163,APOE; CD68; CD5L; CD163; SIGLEC1; NGFR
"3,0",ASCTB-TEMP:splenic-perifollicular-zone-macrophage,Splenic perifollicular zone macrophage,2,spleen,1,https://doi.org/10.1186/s13059-019-1906-x; https://doi.org/10.1111/j.1365-2567.2007.02710.x; https://doi.org/10.55418/9781933477060.; https://doi.org/10.1046/j.1365-2567.1997.00328.x,CD163; MRC1,CD68; CD5L; APOE; CD209; CD163; SIGLEC1; MRC1
"3,0",CL:0009107,lymphatic endothelial cell of subcapsular sinus ceiling,1,lymph-node,1,https://doi.org/10.1016/j.immuni.2019.06.027; https://doi.org/10.3389/fcvm.2020.00052,LYVE1,NUDT4; NT5E; MFAP4; MARCO; PTPRC; PROX1; PDPN; ACKR4; CAV1; PECAM1; CLDN11; LYVE1; TNFRSF9
"3,0",PCL:0015126,VLMC L1-5 PDGFRA COLEC12 primary motor cortex vascular leptomeningeal cell (Hsap),1,allen-brain,1,https://doi.org/10.1038/s41586-021-03465-8,COLEC12,COL1A2; COLEC12
"3,0",CL:0009075,myo-medullary thymic epithelial cell,1,thymus,1,https://doi.org/10.3791/50951; https://doi.org/10.1038/s41467-021-21346-6; https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224,TTN,PTPRC; NEB; MYOG; NNAT; CDR2; ACTA1; TTN; TPM2; TNNT3; MYL11; KLHL41; TNNI2; EPCAM
"3,0",CL:0009109,lymphatic endothelial cell of trabecula,1,lymph-node,1,https://doi.org/10.1016/j.immuni.2019.06.027; https://doi.org/10.3389/fcvm.2020.00052,LYVE1,NT5E; MFAP4; MARCO; PTPRC; PROX1; PDPN; ACKR4; CAV1; PECAM1; CLDN11; LYVE1; TNFRSF9
"3,0",CL:0001056,"dendritic cell, human",1,bone-marrow,1,https://doi.org/10.1002/cyto.a.23724,CD163,NCAM1; ITGAX; IL3RA; S100A9; S100A8; CD3E; HLA-DRA; CLEC4C; CLEC10A; CD163; CD19; FCGR3A; CD14; CD1C; CD36; FCER1A
