leiden_sub,hra_pop_gene_expr_1,hra_pop_gene_expr_2,hra_pop_gene_expr_3,hra_pop_gene_expr_4,hra_pop_gene_expr_5
"15,1",kidney loop of Henle epithelial cell (CL:1000909)[3139 bg][691 ds],kidney loop of Henle cortical thick ascending limb epithelial cell (CL:1001109)[2921 bg][703 ds],macula densa epithelial cell (CL:1000850)[987 bg][303 ds],kidney loop of Henle medullary thick ascending limb epithelial cell (CL:1001108)[944 bg][249 ds],amacrine cell (CL:0000561)[42 bg][14 ds]
"15,2",epithelial cell of early distal convoluted tubule (CL:4030016)[2427 bg][577 ds],epithelial cell of distal tubule (CL:0002305)[1336 bg][342 ds],epithelial cell of late distal convoluted tubule (CL:4030017)[936 bg][261 ds],kidney connecting tubule epithelial cell (CL:1000768)[402 bg][124 ds],kidney connecting tubule principal cell (CL:4030018)[33 bg][11 ds]
"16,0",pulmonary alveolar type 1 cell (CL:0002062)[13831 bg][857 ds],club cell (CL:0000158)[2448 bg][481 ds],pulmonary alveolar epithelial cell (CL:0000322)[1340 bg][264 ds],tracheobronchial serous cell (CL:0019001)[1026 bg][258 ds],pulmonary alveolar type 2 cell (CL:0002063)[926 bg][159 ds]
"16,1",podocyte (CL:0000653)[5751 bg][781 ds],"CD4-positive, CD25-positive, alpha-beta regulatory T cell (CL:0000792)[109 bg][15 ds]",kidney loop of Henle long descending thin limb inner medulla epithelial cell (CL:4030014)[83 bg][23 ds],"CD4-positive, alpha-beta memory T cell (CL:0000897)[24 bg][7 ds]",vasa recta ascending limb cell (CL:1001131)[16 bg][5 ds]
"16,2",fibroblast (CL:0000057)[1634 bg][378 ds],alveolar type 1 fibroblast cell (CL:4028004)[1400 bg][211 ds],myofibroblast cell (CL:0000186)[896 bg][181 ds],erythrocyte (CL:0000232)[433 bg][106 ds],kidney interstitial fibroblast (CL:1000692)[268 bg][83 ds]
"17,0",renal beta-intercalated cell (CL:0002201)[4473 bg][702 ds],podocyte (CL:0000653)[12 bg][4 ds],indirect pathway medium spiny neuron (CL:4023029)[12 bg][4 ds],"CD4-positive, alpha-beta memory T cell (CL:0000897)[9 bg][3 ds]","CD16-positive, CD56-dim natural killer cell, human (CL:0000939)[9 bg][3 ds]"
"17,1",kidney cortex collecting duct intercalated cell (CL:1000715)[1686 bg][451 ds],renal alpha-intercalated cell (CL:0005011)[842 bg][238 ds],epithelial cell of early distal convoluted tubule (CL:4030016)[309 bg][100 ds],kidney connecting tubule alpha-intercalated cell (CL:4030020)[191 bg][55 ds],alveolar type 1 fibroblast cell (CL:4028004)[151 bg][38 ds]
"17,2",plasma cell (CL:0000786)[9358 bg][1612 ds],"CD4-positive, alpha-beta memory T cell (CL:0000897)[9284 bg][2166 ds]",CD1c-positive myeloid dendritic cell (CL:0002399)[9005 bg][1824 ds],"naive thymus-derived CD8-positive, alpha-beta T cell (CL:0000900)[8427 bg][2061 ds]","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[8298 bg][1935 ds]"
"17,3",kidney outer medulla collecting duct intercalated cell (CL:1000717)[425 bg][117 ds],renal alpha-intercalated cell (CL:0005011)[273 bg][82 ds],kidney outer medulla collecting duct principal cell (CL:1000716)[245 bg][75 ds],kidney connecting tubule principal cell (CL:4030018)[154 bg][48 ds],epithelial cell of distal tubule (CL:0002305)[86 bg][28 ds]
"18,0",adipocyte (CL:0000136)[1928 bg][319 ds],pericyte (CL:0000669)[176 bg][51 ds],endothelial cell (CL:0000115)[176 bg][57 ds],myofibroblast cell (CL:0000186)[125 bg][40 ds],smooth muscle cell (CL:0000192)[120 bg][37 ds]
"18,1",macrophage (CL:0000235)[28321 bg][3634 ds],microglial cell (CL:0000129)[5096 bg][1427 ds],alternatively activated macrophage (CL:0000890)[2866 bg][569 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[2843 bg][701 ds],non-classical monocyte (CL:0000875)[2708 bg][352 ds]
"19,0",kidney loop of Henle epithelial cell (CL:1000909)[1063 bg][342 ds],macula densa epithelial cell (CL:1000850)[442 bg][139 ds],kidney loop of Henle short descending thin limb epithelial cell (CL:4030012)[383 bg][119 ds],kidney loop of Henle medullary thick ascending limb epithelial cell (CL:1001108)[371 bg][111 ds],kidney loop of Henle cortical thick ascending limb epithelial cell (CL:1001109)[367 bg][122 ds]
"19,1",epithelial cell of proximal tubule segment 1 (CL:4030009)[4020 bg][647 ds],epithelial cell of proximal tubule segment 2 (CL:4030010)[3094 bg][472 ds],epithelial cell of proximal tubule segment 3 (CL:4030011)[2790 bg][571 ds],epithelial cell of proximal tubule (CL:0002306)[2535 bg][494 ds],kidney loop of Henle long descending thin limb outer medulla epithelial cell (CL:4030013)[619 bg][178 ds]
"19,2",epithelial cell of proximal tubule segment 3 (CL:4030011)[3599 bg][621 ds],epithelial cell of proximal tubule segment 2 (CL:4030010)[2089 bg][431 ds],epithelial cell of proximal tubule (CL:0002306)[1963 bg][451 ds],epithelial cell of proximal tubule segment 1 (CL:4030009)[1664 bg][431 ds],kidney loop of Henle long descending thin limb outer medulla epithelial cell (CL:4030013)[1123 bg][314 ds]
"19,3",parietal epithelial cell (CL:1000452)[3301 bg][629 ds],kidney interstitial fibroblast (CL:1000692)[565 bg][174 ds],fibroblast (CL:0000057)[377 bg][108 ds],mesothelial cell (CL:0000077)[310 bg][68 ds],podocyte (CL:0000653)[297 bg][74 ds]
"19,4",podocyte (CL:0000653)[6203 bg][794 ds],kidney loop of Henle long descending thin limb inner medulla epithelial cell (CL:4030014)[143 bg][39 ds],"CD4-positive, CD25-positive, alpha-beta regulatory T cell (CL:0000792)[139 bg][23 ds]",endothelial cell of artery (CL:1000413)[66 bg][22 ds],"naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[42 bg][14 ds]"
"2,0","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[21189 bg][4461 ds]","naive thymus-derived CD8-positive, alpha-beta T cell (CL:0000900)[17968 bg][3781 ds]","CD4-positive, alpha-beta memory T cell (CL:0000897)[12713 bg][2780 ds]","CD8-positive, alpha-beta memory T cell (CL:0000909)[5340 bg][1502 ds]",hematopoietic stem cell (CL:0000037)[2897 bg][784 ds]
"2,1",endothelial cell of artery (CL:1000413)[11682 bg][2247 ds],vasa recta descending limb cell (CL:1001285)[1301 bg][343 ds],endothelial cell of arteriole (CL:1000412)[648 bg][196 ds],pulmonary artery endothelial cell (CL:1001568)[369 bg][104 ds],kidney connecting tubule principal cell (CL:4030018)[331 bg][107 ds]
"2,2",capillary endothelial cell (CL:0002144)[6559 bg][961 ds],endothelial cell of artery (CL:1000413)[2379 bg][543 ds],alveolar capillary type 2 endothelial cell (CL:4028003)[1905 bg][275 ds],alveolar capillary type 1 endothelial cell (CL:4028002)[1442 bg][301 ds],vein endothelial cell (CL:0002543)[725 bg][216 ds]
"2,3",plasma cell (CL:0000786)[9795 bg][1544 ds],erythroid lineage cell (CL:0000764)[7760 bg][1106 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[6218 bg][1082 ds],endocardial cell (CL:0002350)[5009 bg][532 ds],basal cell (CL:0000646)[3247 bg][513 ds]
"2,4",alveolar capillary type 2 endothelial cell (CL:4028003)[6249 bg][561 ds],pulmonary alveolar type 2 cell (CL:0002063)[497 bg][92 ds],capillary endothelial cell (CL:0002144)[378 bg][106 ds],pericyte (CL:0000669)[210 bg][60 ds],kidney interstitial fibroblast (CL:1000692)[145 bg][47 ds]
"20,0",regular ventricular cardiac myocyte (CL:0002131)[1488 bg][354 ds],ventricular cardiac muscle cell (CL:2000046)[780 bg][243 ds],regular atrial cardiac myocyte (CL:0002129)[60 bg][19 ds],pericyte (CL:0000669)[48 bg][16 ds],"CD14-positive, CD16-negative classical monocyte (CL:0002057)[21 bg][7 ds]"
"20,1",regular ventricular cardiac myocyte (CL:0002131)[63 bg][14 ds],regular atrial cardiac myocyte (CL:0002129)[38 bg][12 ds],cell of skeletal muscle (CL:0000188)[31 bg][9 ds],ventricular cardiac muscle cell (CL:2000046)[16 bg][5 ds],myofibroblast cell (CL:0000186)[6 bg][2 ds]
"20,2",regular atrial cardiac myocyte (CL:0002129)[664 bg][113 ds],pericyte (CL:0000669)[57 bg][18 ds],regular ventricular cardiac myocyte (CL:0002131)[30 bg][10 ds],endothelial cell (CL:0000115)[30 bg][10 ds],VIP GABAergic interneuron (CL:4023016)[27 bg][9 ds]
"21,0",trophoblast cell (CL:0000351)[55 bg][12 ds],epithelial cell of distal tubule (CL:0002305)[22 bg][7 ds],nasal mucosa goblet cell (CL:0002480)[6 bg][2 ds],syncytiotrophoblast cell (CL:0000525)[6 bg][2 ds],kidney inner medulla collecting duct principal cell (CL:1000718)[6 bg][2 ds]
"21,1",plasma cell (CL:0000786)[9798 bg][1546 ds],erythroid lineage cell (CL:0000764)[7782 bg][1109 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[6251 bg][1086 ds],basal cell (CL:0000646)[3255 bg][513 ds],respiratory basal cell (CL:0002633)[3247 bg][397 ds]
"3,0",macrophage (CL:0000235)[26173 bg][3920 ds],alternatively activated macrophage (CL:0000890)[2422 bg][553 ds],lung interstitial macrophage (CL:4033043)[2009 bg][354 ds],Hofbauer cell (CL:3000001)[1199 bg][331 ds],cycling macrophage (CL:4033076)[1110 bg][258 ds]
"3,1",macrophage (CL:0000235)[2722 bg][636 ds],inflammatory macrophage (CL:0000863)[1539 bg][453 ds],lung macrophage (CL:1001603)[1037 bg][236 ds],alveolar macrophage (CL:0000583)[751 bg][201 ds],non-classical monocyte (CL:0000875)[622 bg][117 ds]
"3,2",macrophage (CL:0000235)[8184 bg][1515 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[4314 bg][1056 ds],monocyte-derived dendritic cell (CL:0011031)[2681 bg][652 ds],microglial cell (CL:0000129)[2664 bg][804 ds],non-classical monocyte (CL:0000875)[2375 bg][358 ds]
"3,3",fibroblast (CL:0000057)[17277 bg][2522 ds],pericyte (CL:0000669)[3749 bg][1051 ds],myofibroblast cell (CL:0000186)[3005 bg][618 ds],kidney interstitial fibroblast (CL:1000692)[2331 bg][532 ds],mesenchymal cell (CL:0008019)[1163 bg][324 ds]
"3,4",memory B cell (CL:0000787)[91929 bg][8585 ds],naive B cell (CL:0000788)[79238 bg][8065 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[55536 bg][8096 ds],CD141-positive myeloid dendritic cell (CL:0002394)[22965 bg][3863 ds],transitional stage B cell (CL:0000818)[19495 bg][4131 ds]
"3,5","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[22196 bg][4526 ds]","naive thymus-derived CD8-positive, alpha-beta T cell (CL:0000900)[20920 bg][4155 ds]",plasma cell (CL:0000786)[9474 bg][1638 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[8367 bg][1607 ds],"CD4-positive, alpha-beta memory T cell (CL:0000897)[7816 bg][1866 ds]"
"3,6",neutrophil (CL:0000775)[14912 bg][2964 ds],CD14-positive monocyte (CL:0001054)[9085 bg][2720 ds],"CD14-positive, CD16-negative classical monocyte (CL:0002057)[5345 bg][1574 ds]",classical monocyte (CL:0000860)[4759 bg][1240 ds],monocyte (CL:0000576)[4378 bg][1285 ds]
"3,7",CD14-positive monocyte (CL:0001054)[14812 bg][4252 ds],monocyte (CL:0000576)[10679 bg][3037 ds],classical monocyte (CL:0000860)[9336 bg][2315 ds],"CD14-positive, CD16-negative classical monocyte (CL:0002057)[4934 bg][1497 ds]",non-classical monocyte (CL:0000875)[4571 bg][886 ds]
"3,8",alveolar macrophage (CL:0000583)[2959 bg][313 ds],macrophage (CL:0000235)[1033 bg][272 ds],lung macrophage (CL:1001603)[405 bg][100 ds],alveolar capillary type 1 endothelial cell (CL:4028002)[379 bg][83 ds],inflammatory macrophage (CL:0000863)[340 bg][102 ds]
