leiden_sub,asctb_1,asctb_2,asctb_3,asctb_4,asctb_5,asctb_refs_1,asctb_refs_2,asctb_refs_3,asctb_refs_4,asctb_refs_5
"4,2",pericyte (CL:0000669)[114 bg][lymph-node; skin; placenta; large-intestine],endothelial cell of arteriole (CL:1000412)[67 bg][large-intestine],endothelial cell of venule (CL:1000414)[65 bg][large-intestine],capillary endothelial cell (CL:0002144)[25 bg][large-intestine],lung pericyte (CL:0009089)[3 bg][lung],https://doi.org/10.1083/jcb.113.1.147; https://doi.org/10.1016/0014-4800(90)90037-e; https://doi.org/10.1007/s00441-003-0745-x; https://doi.org/10.1016/j.jchemneu.2018.06.001; https://doi.org/10.3389/fcvm.2020.00052; https://doi.org/10.1034/j.1600-065x.2003.00072.x; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1038/ng.2007.6; isBN:978-1496398949; https://doi.org/10.1111/j.1440-1827.1989.tb02421.x; ISBN:978-1496398949,https://doi.org/10.1083/jcb.113.1.147; https://doi.org/10.1016/0014-4800(90)90037-e; https://doi.org/10.1007/s00441-003-0745-x; https://doi.org/10.1016/j.jchemneu.2018.06.001; https://doi.org/10.3389/fcvm.2020.00052; https://doi.org/10.1034/j.1600-065x.2003.00072.x; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1038/ng.2007.6; isBN:978-1496398949; https://doi.org/10.1111/j.1440-1827.1989.tb02421.x; ISBN:978-1496398949,https://doi.org/10.1083/jcb.113.1.147; https://doi.org/10.1016/0014-4800(90)90037-e; https://doi.org/10.1007/s00441-003-0745-x; https://doi.org/10.1016/j.jchemneu.2018.06.001; https://doi.org/10.3389/fcvm.2020.00052; https://doi.org/10.1034/j.1600-065x.2003.00072.x; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1038/ng.2007.6; isBN:978-1496398949; https://doi.org/10.1111/j.1440-1827.1989.tb02421.x; ISBN:978-1496398949,https://doi.org/10.1083/jcb.113.1.147; https://doi.org/10.1016/0014-4800(90)90037-e; https://doi.org/10.1007/s00441-003-0745-x; https://doi.org/10.1016/j.jchemneu.2018.06.001; https://doi.org/10.3389/fcvm.2020.00052; https://doi.org/10.1034/j.1600-065x.2003.00072.x; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1038/ng.2007.6; isBN:978-1496398949; https://doi.org/10.1111/j.1440-1827.1989.tb02421.x; ISBN:978-1496398949,https://doi.org/10.1083/jcb.113.1.147; https://doi.org/10.1016/0014-4800(90)90037-e; https://doi.org/10.1007/s00441-003-0745-x; https://doi.org/10.1016/j.jchemneu.2018.06.001; https://doi.org/10.3389/fcvm.2020.00052; https://doi.org/10.1034/j.1600-065x.2003.00072.x; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1038/ng.2007.6; isBN:978-1496398949; https://doi.org/10.1111/j.1440-1827.1989.tb02421.x; ISBN:978-1496398949
"5,0",blood vessel endothelial cell (CL:0000071)[21 bg][lymph-node; thymus],intestinal tuft cell (CL:0019032)[11 bg][large-intestine],alveolar adventitial fibroblast (CL:4028006)[3 bg][lung],CD8-alpha-negative thymic conventional dendritic cell (CL:0002460)[2 bg][thymus],Splat_381 neuron (Hsap) (PCL:0051382)[2 bg][allen-brain],https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005
"5,1",subcapsular thymic epithelial cell (CL:0009077)[1 bg][thymus],CA4_194 hippocampal CA4 neuron (Hsap) (PCL:0051195)[1 bg][allen-brain],"","","",https://doi.org/10.1016/s0065-2776(08)60900-1,https://doi.org/10.1016/s0065-2776(08)60900-1,https://doi.org/10.1016/s0065-2776(08)60900-1,https://doi.org/10.1016/s0065-2776(08)60900-1,https://doi.org/10.1016/s0065-2776(08)60900-1
"5,2",neuron (CL:0000540)[5 bg][spinal-cord],myofibroblast cell (CL:0000186)[3 bg][spleen],vascular associated smooth muscle cell (CL:0000359)[2 bg][skin],ON-bipolar cell (CL:0000749)[2 bg][eye],Splat_371 neuron (Hsap) (PCL:0051372)[1 bg][allen-brain],https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007
"6,0",CA4_194 hippocampal CA4 neuron (Hsap) (PCL:0051195)[1 bg][allen-brain],"","","","",https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898
"6,1",neuron (CL:0000540)[5 bg][spinal-cord],Splat_373 neuron (Hsap) (PCL:0051374)[1 bg][allen-brain],Thex_372 thalamic excitatory neuron (Hsap) (PCL:0051373)[1 bg][allen-brain],Inh L1-2 VIP PTGER3 primary motor cortex GABAergic interneuron (Hsap) (PCL:0015022)[1 bg][allen-brain],Splat_366 neuron (Hsap) (PCL:0051367)[1 bg][allen-brain],https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007,https://doi.org/10.1016/j.neuron.2023.01.007
"6,2",lymphocyte of large intestine lamina propria (CL:0009018)[33 bg][large-intestine],Schwann cell (CL:0002573)[24 bg][large-intestine],natural killer cell (CL:0000623)[22 bg][lymph-node; skin; spleen; thymus; allen-brain; liver; kidney; fallopian-tube],uterine natural killer cell (ASCTB-TEMP:uterine-natural-killer-cell)[18 bg][uterus],lymphocyte (ASCTB-TEMP:lymphocyte)[18 bg][uterus],https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001
"6,3",lymphocyte (ASCTB-TEMP:lymphocyte)[18 bg][uterus],B cell (ASCTB-TEMP:b-cell)[18 bg][uterus],uterine natural killer cell (ASCTB-TEMP:uterine-natural-killer-cell)[18 bg][uterus],T cell (ASCTB-TEMP:t-cell)[18 bg][uterus],innate lymphoid cell (ASCTB-TEMP:innate-lymphoid-cell)[18 bg][uterus],https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073
"6,4",T cell (ASCTB-TEMP:t-cell)[18 bg][uterus],innate lymphoid cell (ASCTB-TEMP:innate-lymphoid-cell)[18 bg][uterus],lymphocyte of large intestine lamina propria (CL:0009018)[11 bg][large-intestine],alveolar capillary type 1 endothelial cell (CL:4028002)[3 bg][lung],T-helper 17 cell (CL:0000899)[3 bg][thymus; lymph-node],https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073
"6,5",lymphocyte of large intestine lamina propria (CL:0009018)[33 bg][large-intestine],intestinal crypt stem cell of large intestine (CL:0009016)[11 bg][large-intestine],fibroblast of villous mesenchyme (CL:0002558)[8 bg][placenta],regulatory T cell (CL:0000815)[6 bg][spleen; lymph-node],peg cell (CL:4033014)[5 bg][fallopian-tube],https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001
"7,0",Fbl_31 arachnoid barrier cell (Hsap) (PCL:0051032)[1 bg][allen-brain],Bgl_51 Bergmann glial cell (Hsap) (PCL:0051052)[1 bg][allen-brain],Splat_425 neuron (Hsap) (PCL:0051426)[1 bg][allen-brain],CA13_188 hippocampal CA1-3 neuron (Hsap) (PCL:0051189)[1 bg][allen-brain],Splat_371 neuron (Hsap) (PCL:0051372)[1 bg][allen-brain],https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898
"7,1",CD141-positive myeloid dendritic cell (CL:0002394)[2 bg][blood-pelvis; lymph-node],Astro L1 FGFR3 SERPINI2 primary motor cortex astrocyte (Hsap) (PCL:0015123)[2 bg][allen-brain],Inh L5 PVALB LRIG3 primary motor cortex GABAergic interneuron (Hsap) (PCL:0015062)[1 bg][allen-brain],conventional dendritic cell (CL:0000990)[1 bg][bone-marrow],"",https://doi.org/10.1016/j.immuni.2017.02.019; https://doi.org/10.1016/S0002-94401061694-X; https://doi.org/10.3109/10428194.2013.781167,https://doi.org/10.1016/j.immuni.2017.02.019; https://doi.org/10.1016/S0002-94401061694-X; https://doi.org/10.3109/10428194.2013.781167,https://doi.org/10.1016/j.immuni.2017.02.019; https://doi.org/10.1016/S0002-94401061694-X; https://doi.org/10.3109/10428194.2013.781167,https://doi.org/10.1016/j.immuni.2017.02.019; https://doi.org/10.1016/S0002-94401061694-X; https://doi.org/10.3109/10428194.2013.781167,https://doi.org/10.1016/j.immuni.2017.02.019; https://doi.org/10.1016/S0002-94401061694-X; https://doi.org/10.3109/10428194.2013.781167
"7,2",pulmonary alveolar type 2 cell (CL:0002063)[3 bg][lung],Inh L1-5 VIP CD27-AS1 primary motor cortex GABAergic interneuron (Hsap) (PCL:0015032)[1 bg][allen-brain],LLC_267 interneuron (Hsap) (PCL:0051268)[1 bg][allen-brain],LLC_269 interneuron (Hsap) (PCL:0051270)[1 bg][allen-brain],LLC_268 interneuron (Hsap) (PCL:0051269)[1 bg][allen-brain],https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110,https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110,https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110,https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110,https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110
"8,0",mononuclear cytotrophoblast cell (CL:0000523)[8 bg][placenta],syncytiotrophoblast cell (CL:0000525)[7 bg][placenta],neuron (CL:0000540)[5 bg][spinal-cord],"plasmacytoid dendritic cell, human (CL:0001058)[3 bg][spleen]",VendVC_16 capillary endothelial cell (Hsap) (PCL:0051017)[1 bg][allen-brain],https://doi.org/10.1095/biolreprod.106.055244; https://doi.org/10.1053/plac.2000.0559; https://doi.org/10.1016/S0143-4004(05)80438-2; https://doi.org/10.1016/j.jim.2003.03.001; https://doi.org/10.1016/j.ajpath.2014.08.006,https://doi.org/10.1095/biolreprod.106.055244; https://doi.org/10.1053/plac.2000.0559; https://doi.org/10.1016/S0143-4004(05)80438-2; https://doi.org/10.1016/j.jim.2003.03.001; https://doi.org/10.1016/j.ajpath.2014.08.006,https://doi.org/10.1095/biolreprod.106.055244; https://doi.org/10.1053/plac.2000.0559; https://doi.org/10.1016/S0143-4004(05)80438-2; https://doi.org/10.1016/j.jim.2003.03.001; https://doi.org/10.1016/j.ajpath.2014.08.006,https://doi.org/10.1095/biolreprod.106.055244; https://doi.org/10.1053/plac.2000.0559; https://doi.org/10.1016/S0143-4004(05)80438-2; https://doi.org/10.1016/j.jim.2003.03.001; https://doi.org/10.1016/j.ajpath.2014.08.006,https://doi.org/10.1095/biolreprod.106.055244; https://doi.org/10.1053/plac.2000.0559; https://doi.org/10.1016/S0143-4004(05)80438-2; https://doi.org/10.1016/j.jim.2003.03.001; https://doi.org/10.1016/j.ajpath.2014.08.006
"8,1",pulmonary alveolar type 2 cell (CL:0002063)[3 bg][lung],beige adipocyte (CL:0001070)[2 bg][thymus],club cell (CL:0000158)[2 bg][lung],endothelial cell of lymphatic vessel (CL:0002138)[1 bg][kidney],vasa recta ascending limb cell (CL:1001131)[1 bg][kidney],https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110,https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110,https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110,https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110,https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110
"8,2",endothelial cell of arteriole (CL:1000412)[67 bg][large-intestine],endothelial cell of venule (CL:1000414)[65 bg][large-intestine],capillary endothelial cell (CL:0002144)[25 bg][large-intestine],vein endothelial cell (CL:0002543)[2 bg][large-intestine],neuron (CL:0000540)[2 bg][spinal-cord],isBN:978-1496398949; ISBN:978-1496398949; https://doi.org/10.1007/978-1-4939-0897-4_3,isBN:978-1496398949; ISBN:978-1496398949; https://doi.org/10.1007/978-1-4939-0897-4_3,isBN:978-1496398949; ISBN:978-1496398949; https://doi.org/10.1007/978-1-4939-0897-4_3,isBN:978-1496398949; ISBN:978-1496398949; https://doi.org/10.1007/978-1-4939-0897-4_3,isBN:978-1496398949; ISBN:978-1496398949; https://doi.org/10.1007/978-1-4939-0897-4_3
"8,3",blood vessel endothelial cell (CL:0000071)[4 bg][lymph-node],T cell zone reticular cell (CL:0009105)[4 bg][lymph-node],reticular cell of splenic cord (CL:1000489)[3 bg][spleen],skin fibroblast (CL:0002620)[2 bg][skin],myofibroblast cell (CL:0000186)[2 bg][lymph-node],https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005
"8,4",endothelial cell of lymphatic vessel (CL:0002138)[11 bg][kidney; spleen; thymus; lymph-node],blood vessel endothelial cell (CL:0000071)[9 bg][lymph-node],neuron (CL:0000540)[3 bg][spinal-cord],kidney loop of Henle medullary thick ascending limb epithelial cell (CL:1001108)[1 bg][kidney],DLIT_146 intratelencephalic-projecting glutamatergic cortical neuron (Hsap) (PCL:0051147)[1 bg][allen-brain],https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1369%2Fjhc.4A6514.2005; https://doi.org/10.1369/jhc.4A6514.2005; PMID:16515224; https://doi.org/10.1016/j.immuni.2019.06.027; https://doi.org/10.3389/fcvm.2020.00052; https://doi.org/10.1038/s41467-019-12872-5; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1369%2Fjhc.4A6514.2005; https://doi.org/10.1369/jhc.4A6514.2005; PMID:16515224; https://doi.org/10.1016/j.immuni.2019.06.027; https://doi.org/10.3389/fcvm.2020.00052; https://doi.org/10.1038/s41467-019-12872-5; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1369%2Fjhc.4A6514.2005; https://doi.org/10.1369/jhc.4A6514.2005; PMID:16515224; https://doi.org/10.1016/j.immuni.2019.06.027; https://doi.org/10.3389/fcvm.2020.00052; https://doi.org/10.1038/s41467-019-12872-5; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1369%2Fjhc.4A6514.2005; https://doi.org/10.1369/jhc.4A6514.2005; PMID:16515224; https://doi.org/10.1016/j.immuni.2019.06.027; https://doi.org/10.3389/fcvm.2020.00052; https://doi.org/10.1038/s41467-019-12872-5; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2,https://doi.org/10.1080/01926230600865549; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1369%2Fjhc.4A6514.2005; https://doi.org/10.1369/jhc.4A6514.2005; PMID:16515224; https://doi.org/10.1016/j.immuni.2019.06.027; https://doi.org/10.3389/fcvm.2020.00052; https://doi.org/10.1038/s41467-019-12872-5; https://doi.org/10.1172/jci.insight.133267; https://doi.org/10.1038/s41586-020-2941-1; https://doi.org/10.1038/s41467-019-10861-2
"9,0",myofibroblast cell (CL:0000186)[3 bg][spleen],vascular associated smooth muscle cell (CL:0000359)[2 bg][skin],Mmb_329 mammillary body neuron (Hsap) (PCL:0051330)[1 bg][allen-brain],Inh L5-6 VIP COL4A3 primary motor cortex GABAergic interneuron (Hsap) (PCL:0015031)[1 bg][allen-brain],Splat_362 neuron (Hsap) (PCL:0051363)[1 bg][allen-brain],PMID: 3310649; PMID: 20126587; https://doi.org/10.1038/s41598-018-34105-3,PMID: 3310649; PMID: 20126587; https://doi.org/10.1038/s41598-018-34105-3,PMID: 3310649; PMID: 20126587; https://doi.org/10.1038/s41598-018-34105-3,PMID: 3310649; PMID: 20126587; https://doi.org/10.1038/s41598-018-34105-3,PMID: 3310649; PMID: 20126587; https://doi.org/10.1038/s41598-018-34105-3
"9,1",lymphocyte of large intestine lamina propria (CL:0009018)[33 bg][large-intestine],B cell (ASCTB-TEMP:b-cell)[18 bg][uterus],naive B cell (CL:0000788)[11 bg][thymus; spleen; blood-pelvis; bone-marrow; lymph-node],memory B cell (CL:0000787)[9 bg][blood-pelvis; bone-marrow; spleen; lymph-node],class switched memory B cell (CL:0000972)[6 bg][spleen; thymus],https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1007/978-1-4939-0897-4_3,https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1007/978-1-4939-0897-4_3,https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1007/978-1-4939-0897-4_3,https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1007/978-1-4939-0897-4_3,https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1007/978-1-4939-0897-4_3
"9,2",T cell (ASCTB-TEMP:t-cell)[18 bg][uterus],innate lymphoid cell (ASCTB-TEMP:innate-lymphoid-cell)[18 bg][uterus],lymphocyte (ASCTB-TEMP:lymphocyte)[18 bg][uterus],lymphocyte of large intestine lamina propria (CL:0009018)[11 bg][large-intestine],"CD8-positive, alpha-beta memory T cell (CL:0000909)[5 bg][spleen; lymph-node]",https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073
"9,3",macrophage (CL:0000235)[38 bg][large-intestine; lymph-node],blood vessel endothelial cell (CL:0000071)[36 bg][lymph-node],dendritic cell (CL:0000451)[28 bg][large-intestine; lymph-node],B cell (CL:0000236)[6 bg][kidney; lymph-node; placenta],naive B cell (CL:0000788)[5 bg][lymph-node; thymus],https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1182/blood.v97.1.288; https://doi.org/10.1111/cas.13137; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1182/blood.v97.1.288; https://doi.org/10.1111/cas.13137; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1182/blood.v97.1.288; https://doi.org/10.1111/cas.13137; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1182/blood.v97.1.288; https://doi.org/10.1111/cas.13137; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1182/blood.v97.1.288; https://doi.org/10.1111/cas.13137; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001
"9,4",intestinal crypt stem cell of large intestine (CL:0009016)[11 bg][large-intestine],naive B cell (CL:0000788)[4 bg][lymph-node; spleen; blood-pelvis],transitional stage B cell (CL:0000818)[3 bg][blood-pelvis; bone-marrow],rearranging double negative thymocyte (Homo sapiens) (CL:0009083)[3 bg][thymus],pro-B cell (CL:0000826)[3 bg][bone-marrow],https://doi.org/10.1038/nature06196,https://doi.org/10.1038/nature06196,https://doi.org/10.1038/nature06196,https://doi.org/10.1038/nature06196,https://doi.org/10.1038/nature06196
"9,5",thymic plasmacytoid dendritic cell (CL:0000942)[2 bg][thymus],Splat_366 neuron (Hsap) (PCL:0051367)[1 bg][allen-brain],"plasmacytoid dendritic cell, human (CL:0001058)[1 bg][lymph-node]",MGE_260 pvalb GABAergic cortical interneuron (Hsap) (PCL:0051261)[1 bg][allen-brain],CGE_293 VIP GABAergic cortical interneuron (Hsap) (PCL:0051294)[1 bg][allen-brain],https://doi.org/10.1172/JCI11734; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1182/blood-2008-11-187633; https://doi.org/10.1172/JCI11734.,https://doi.org/10.1172/JCI11734; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1182/blood-2008-11-187633; https://doi.org/10.1172/JCI11734.,https://doi.org/10.1172/JCI11734; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1182/blood-2008-11-187633; https://doi.org/10.1172/JCI11734.,https://doi.org/10.1172/JCI11734; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1182/blood-2008-11-187633; https://doi.org/10.1172/JCI11734.,https://doi.org/10.1172/JCI11734; https://doi.org/10.1126/science.aay3224; https://doi.org/10.1182/blood-2008-11-187633; https://doi.org/10.1172/JCI11734.
